id,"title","description","image_url",price,"created_at","updated_at","artist","typo"
5615,"In Between Dreams","","In_Between_Dreams.jpg",6.66,"2011-10-19 19:18:30","2011-10-19 19:18:30","Jack Johnson","audio-CD"
5616,"Inner Visions","","Inner_Visions.jpg",6.66,"2011-10-19 19:18:30","2011-10-19 19:18:30","Stevie Wonder","audio-CD"
5617,"Urban Hymns","","Urban_Hymns.jpg",6.66,"2011-10-19 19:18:30","2011-10-19 19:18:30","The Verve","audio-CD"
5618,"Grasshopper","Jeff Lorber","West_Side_Stories.jpg",1.11,"2011-10-19 19:18:30","2011-10-19 19:18:30","Jeff Lorber","audio-CD"
5619,"Point Venus","Jeff Lorber","West_Side_Stories.jpg",2.11,"2011-10-19 19:18:30","2011-10-19 19:18:30","Jeff Lorber","audio-CD"
5620,"Iguassu Falls","Jeff Lorber, Alec Milstein","West_Side_Stories.jpg",3.11,"2011-10-19 19:18:30","2011-10-19 19:18:30","Jeff Lorber","audio-CD"
5621,"Let The River Run","Jeff Lorber","West_Side_Stories.jpg",4.11,"2011-10-19 19:18:30","2011-10-19 19:18:30","Jeff Lorber","audio-CD"
5622,"Say Love","Jeff Lorber, Marlon McClain, Jeff Pescetto","West_Side_Stories.jpg",5.11,"2011-10-19 19:18:30","2011-10-19 19:18:30","Jeff Lorber","audio-CD"
5623,"Road Song","Jeff Lorber","West_Side_Stories.jpg",6.11,"2011-10-19 19:18:30","2011-10-19 19:18:30","Jeff Lorber","audio-CD"
5624,"No Regrets","Jeff Lorber","West_Side_Stories.jpg",7.11,"2011-10-19 19:18:30","2011-10-19 19:18:30","Jeff Lorber","audio-CD"
5625,"Tours End","Jeff Lorber","West_Side_Stories.jpg",8.11,"2011-10-19 19:18:30","2011-10-19 19:18:30","Jeff Lorber","audio-CD"
5626,"Tuva","Jeff Lorber","West_Side_Stories.jpg",9.11,"2011-10-19 19:18:30","2011-10-19 19:18:30","Jeff Lorber","audio-CD"
5627,"Dont Forget The Love","Jeff Lorber, Eric Benet","West_Side_Stories.jpg",10.11,"2011-10-19 19:18:30","2011-10-19 19:18:30","Jeff Lorber","audio-CD"
5628,"Toads Place","Jeff Lorber","West_Side_Stories.jpg",11.11,"2011-10-19 19:18:30","2011-10-19 19:18:30","Jeff Lorber","audio-CD"
5629,"Ashes To Ashes","Joe Sample","Ashes_To_Ashes.jpg",1.90,"2011-10-19 19:18:30","2011-10-19 19:18:30","Joe Sample","audio-CD"
5630,"The Road Less Traveled","Marcus Miller","Ashes_To_Ashes.jpg",2.90,"2011-10-19 19:18:30","2011-10-19 19:18:30","Joe Sample","audio-CD"
5631,"Mothers Eyes","Joe Sample","Ashes_To_Ashes.jpg",3.90,"2011-10-19 19:18:30","2011-10-19 19:18:30","Joe Sample","audio-CD"
5632,"The Last Child","Joe Sample","Ashes_To_Ashes.jpg",4.90,"2011-10-19 19:18:30","2011-10-19 19:18:30","Joe Sample","audio-CD"
5633,"Born In Trouble","Joe Sample","Ashes_To_Ashes.jpg",5.90,"2011-10-19 19:18:30","2011-10-19 19:18:30","Joe Sample","audio-CD"
5634,"Strike Two","Marcus Miller","Ashes_To_Ashes.jpg",6.90,"2011-10-19 19:18:30","2011-10-19 19:18:30","Joe Sample","audio-CD"
5635,"Ill Love You","Joe Sample","Ashes_To_Ashes.jpg",7.90,"2011-10-19 19:18:30","2011-10-19 19:18:30","Joe Sample","audio-CD"
5636,"Born To Be Bad","Joe Sample","Ashes_To_Ashes.jpg",8.90,"2011-10-19 19:18:30","2011-10-19 19:18:30","Joe Sample","audio-CD"
5637,"Phoenix","Joe Sample","Ashes_To_Ashes.jpg",9.90,"2011-10-19 19:18:30","2011-10-19 19:18:30","Joe Sample","audio-CD"
5638,"Sonata in F Major, K. 332 - I. Allegro","Wolfgang Amadeus Mozart","Mozart_Piano_Sonatas.jpg",1.10,"2011-10-19 19:18:30","2011-10-19 19:18:30","Andreas Haefliger","audio-CD"
5639,"Adagio","Wolfgang Amadeus Mozart","Mozart:Piano_Sonatas_K._332,_333__and_457-_Fantasia_K._475-_Haefliger.jpg",2.10,"2011-10-19 19:18:30","2011-10-19 19:18:30","Andreas Haefliger","audio-CD"
5640,"Sonata in F Major, K. 332 - III. Allegro assai","Wolfgang Amadeus Mozart","Mozart_Piano_Sonatas.jpg",3.10,"2011-10-19 19:18:30","2011-10-19 19:18:30","Andreas Haefliger","audio-CD"
5641,"Bamboo",NULL,"Steel_Drums_And_Percussion.jpg",1.13,"2011-10-19 19:18:30","2011-10-19 19:18:30","Bakra Bata","audio-CD"
5642,"Pachelbels Cannon",NULL,"Steel_Drums_And_Percussion.jpg",2.13,"2011-10-19 19:18:30","2011-10-19 19:18:30","Bakra Bata","audio-CD"
5643,"Cool Running",NULL,"Steel_Drums_And_Percussion.jpg",3.13,"2011-10-19 19:18:30","2011-10-19 19:18:30","Bakra Bata","audio-CD"
5644,"Guitar Boy",NULL,"Steel_Drums_And_Percussion.jpg",4.13,"2011-10-19 19:18:30","2011-10-19 19:18:30","Bakra Bata","audio-CD"
5645,"What You Like",NULL,"Steel_Drums_And_Percussion.jpg",5.13,"2011-10-19 19:18:30","2011-10-19 19:18:30","Bakra Bata","audio-CD"
5646,"Which Way Out",NULL,"Steel_Drums_And_Percussion.jpg",6.13,"2011-10-19 19:18:30","2011-10-19 19:18:30","Bakra Bata","audio-CD"
5647,"California",NULL,"Steel_Drums_And_Percussion.jpg",7.13,"2011-10-19 19:18:30","2011-10-19 19:18:30","Bakra Bata","audio-CD"
5648,"Sweet Love",NULL,"Steel_Drums_And_Percussion.jpg",8.13,"2011-10-19 19:18:30","2011-10-19 19:18:30","Bakra Bata","audio-CD"
5649,"Paulette",NULL,"Steel_Drums_And_Percussion.jpg",9.13,"2011-10-19 19:18:30","2011-10-19 19:18:30","Bakra Bata","audio-CD"
5650,"Red Wine",NULL,"Steel_Drums_And_Percussion.jpg",10.13,"2011-10-19 19:18:30","2011-10-19 19:18:30","Bakra Bata","audio-CD"
5651,"News To Us",NULL,"Steel_Drums_And_Percussion.jpg",11.13,"2011-10-19 19:18:30","2011-10-19 19:18:30","Bakra Bata","audio-CD"
